frame_id,ground_truth_code,verified_code,crop_count,status,reviewer,split,source_dir,frame_number,notes,verified_at
live-user-full-20260616-201728__frame-346,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,346,,2026-06-17T00:15:04.458Z
live-user-full-20260616-201728__frame-347,SWE8,,6,not_sticker,,val,live-user-full-20260616-201728,347,,2026-06-17T00:15:05.046Z
live-user-full-20260616-201728__frame-350,SWE8,,4,not_sticker,,test,live-user-full-20260616-201728,350,,2026-06-17T00:15:05.614Z
live-user-full-20260616-201728__frame-353,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,353,,2026-06-17T00:15:06.340Z
live-user-full-20260616-201728__frame-354,SWE8,,6,not_sticker,,test,live-user-full-20260616-201728,354,,2026-06-17T00:15:06.797Z
live-user-full-20260616-201728__frame-355,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,355,,2026-06-17T00:15:07.258Z
live-user-full-20260616-201728__frame-357,SWE8,,6,not_sticker,,test,live-user-full-20260616-201728,357,,2026-06-17T00:15:07.730Z
live-user-full-20260616-201728__frame-359,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,359,,2026-06-17T00:15:08.136Z
live-user-full-20260616-201728__frame-362,SWE8,,4,not_sticker,,test,live-user-full-20260616-201728,362,,2026-06-17T00:15:08.528Z
live-user-full-20260616-201728__frame-370,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,370,,2026-06-17T00:15:08.905Z
live-user-full-20260616-201728__frame-372,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,372,,2026-06-17T00:15:09.292Z
live-user-full-20260616-201728__frame-373,SWE8,,8,not_sticker,,train,live-user-full-20260616-201728,373,,2026-06-17T00:15:09.673Z
live-user-full-20260616-201728__frame-375,SWE8,,4,not_sticker,,val,live-user-full-20260616-201728,375,,2026-06-17T00:15:10.075Z
live-user-full-20260616-201728__frame-378,SWE8,,6,not_sticker,,test,live-user-full-20260616-201728,378,,2026-06-17T00:15:10.476Z
live-user-full-20260616-201728__frame-381,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,381,,2026-06-17T00:15:10.872Z
live-user-full-20260616-201728__frame-385,SWE8,,4,not_sticker,,test,live-user-full-20260616-201728,385,,2026-06-17T00:15:11.254Z
live-user-full-20260616-201728__frame-386,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,386,,2026-06-17T00:15:11.686Z
live-user-full-20260616-201728__frame-387,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,387,,2026-06-17T00:15:12.241Z
live-user-full-20260616-201728__frame-388,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,388,,2026-06-17T00:15:12.672Z
live-user-full-20260616-201728__frame-396,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,396,,2026-06-17T00:15:13.170Z
live-user-full-20260616-201728__frame-397,SWE8,,8,not_sticker,,test,live-user-full-20260616-201728,397,,2026-06-17T00:15:13.602Z
live-user-full-20260616-201728__frame-399,SWE8,,2,not_sticker,,test,live-user-full-20260616-201728,399,,2026-06-17T00:15:14.022Z
live-user-full-20260616-201728__frame-401,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,401,,2026-06-17T00:15:14.445Z
live-user-full-20260616-201728__frame-403,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,403,,2026-06-17T00:15:14.885Z
live-user-full-20260616-201728__frame-404,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,404,,2026-06-17T00:15:15.331Z
live-user-full-20260616-201728__frame-407,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,407,,2026-06-17T00:15:15.766Z
live-user-full-20260616-201728__frame-410,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,410,,2026-06-17T00:15:16.169Z
live-user-full-20260616-201728__frame-411,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,411,,2026-06-17T00:15:16.626Z
live-user-full-20260616-201728__frame-412,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,412,,2026-06-17T00:15:17.048Z
live-user-full-20260616-201728__frame-417,SWE8,,4,not_sticker,,test,live-user-full-20260616-201728,417,,2026-06-17T00:15:17.450Z
live-user-full-20260616-201728__frame-418,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,418,,2026-06-17T00:15:17.863Z
live-user-full-20260616-201728__frame-419,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,419,,2026-06-17T00:15:18.250Z
live-user-full-20260616-201728__frame-420,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,420,,2026-06-17T00:15:18.632Z
live-user-full-20260616-201728__frame-427,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,427,,2026-06-17T00:15:19.008Z
live-user-full-20260616-201728__frame-430,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,430,,2026-06-17T00:15:19.390Z
live-user-full-20260616-201728__frame-432,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,432,,2026-06-17T00:15:19.792Z
live-user-full-20260616-201728__frame-434,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,434,,2026-06-17T00:15:20.180Z
live-user-full-20260616-201728__frame-435,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,435,,2026-06-17T00:15:20.562Z
live-user-full-20260616-201728__frame-436,SWE8,,6,not_sticker,,val,live-user-full-20260616-201728,436,,2026-06-17T00:15:20.946Z
live-user-full-20260616-201728__frame-440,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,440,,2026-06-17T00:15:21.306Z
live-user-full-20260616-201728__frame-443,SWE8,,6,not_sticker,,test,live-user-full-20260616-201728,443,,2026-06-17T00:15:21.720Z
live-user-full-20260616-201728__frame-444,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,444,,2026-06-17T00:15:22.076Z
live-user-full-20260616-201728__frame-448,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,448,,2026-06-17T00:15:22.463Z
live-user-full-20260616-201728__frame-449,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,449,,2026-06-17T00:15:22.852Z
live-user-full-20260616-201728__frame-455,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,455,,2026-06-17T00:15:23.226Z
live-user-full-20260616-201728__frame-456,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,456,,2026-06-17T00:15:23.620Z
live-user-full-20260616-201728__frame-458,SWE8,,8,not_sticker,,test,live-user-full-20260616-201728,458,,2026-06-17T00:15:23.990Z
live-user-full-20260616-201728__frame-459,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,459,,2026-06-17T00:15:24.348Z
live-user-full-20260616-201728__frame-461,SWE8,,4,not_sticker,,test,live-user-full-20260616-201728,461,,2026-06-17T00:15:24.730Z
live-user-full-20260616-201728__frame-464,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,464,,2026-06-17T00:15:25.068Z
live-user-full-20260616-201728__frame-466,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,466,,2026-06-17T00:15:25.455Z
live-user-full-20260616-201728__frame-467,SWE8,,8,not_sticker,,train,live-user-full-20260616-201728,467,,2026-06-17T00:15:25.832Z
live-user-full-20260616-201728__frame-469,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,469,,2026-06-17T00:15:26.170Z
live-user-full-20260616-201728__frame-471,SWE8,,8,not_sticker,,test,live-user-full-20260616-201728,471,,2026-06-17T00:15:26.562Z
live-user-full-20260616-201728__frame-474,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,474,,2026-06-17T00:15:26.926Z
live-user-full-20260616-201728__frame-475,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,475,,2026-06-17T00:15:27.266Z
live-user-full-20260616-201728__frame-477,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,477,,2026-06-17T00:15:27.623Z
live-user-full-20260616-201728__frame-478,SWE8,,4,not_sticker,,test,live-user-full-20260616-201728,478,,2026-06-17T00:15:27.978Z
live-user-full-20260616-201728__frame-480,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,480,,2026-06-17T00:15:28.318Z
live-user-full-20260616-201728__frame-481,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,481,,2026-06-17T00:15:28.664Z
live-user-full-20260616-201728__frame-483,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,483,,2026-06-17T00:15:29.034Z
live-user-full-20260616-201728__frame-484,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,484,,2026-06-17T00:15:29.380Z
live-user-full-20260616-201728__frame-486,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,486,,2026-06-17T00:15:29.726Z
live-user-full-20260616-201728__frame-487,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,487,,2026-06-17T00:15:30.066Z
live-user-full-20260616-201728__frame-489,SWE8,,4,not_sticker,,val,live-user-full-20260616-201728,489,,2026-06-17T00:15:30.422Z
live-user-full-20260616-201728__frame-490,SWE8,,4,not_sticker,,test,live-user-full-20260616-201728,490,,2026-06-17T00:15:30.778Z
live-user-full-20260616-201728__frame-491,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,491,,2026-06-17T00:15:31.132Z
live-user-full-20260616-201728__frame-492,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,492,,2026-06-17T00:15:31.470Z
live-user-full-20260616-201728__frame-494,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,494,,2026-06-17T00:15:31.792Z
live-user-full-20260616-201728__frame-496,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,496,,2026-06-17T00:15:32.109Z
live-user-full-20260616-201728__frame-497,SWE8,,4,not_sticker,,test,live-user-full-20260616-201728,497,,2026-06-17T00:15:32.413Z
live-user-full-20260616-201728__frame-498,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,498,,2026-06-17T00:15:32.716Z
live-user-full-20260616-201728__frame-499,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,499,,2026-06-17T00:15:32.986Z
live-user-full-20260616-201728__frame-500,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,500,,2026-06-17T00:15:33.260Z
live-user-full-20260616-201728__frame-501,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,501,,2026-06-17T00:15:33.522Z
live-user-full-20260616-201728__frame-502,SWE8,,6,not_sticker,,val,live-user-full-20260616-201728,502,,2026-06-17T00:15:33.768Z
live-user-full-20260616-201728__frame-503,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,503,,2026-06-17T00:15:34.008Z
live-user-full-20260616-201728__frame-505,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,505,,2026-06-17T00:15:34.265Z
live-user-full-20260616-201728__frame-507,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,507,,2026-06-17T00:15:34.702Z
live-user-full-20260616-201728__frame-509,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,509,,2026-06-17T00:15:34.975Z
live-user-full-20260616-201728__frame-510,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,510,,2026-06-17T00:15:35.294Z
live-user-full-20260616-201728__frame-511,SWE8,,6,not_sticker,,test,live-user-full-20260616-201728,511,,2026-06-17T00:15:35.564Z
live-user-full-20260616-201728__frame-513,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,513,,2026-06-17T00:15:35.806Z
live-user-full-20260616-201728__frame-514,SWE8,,4,not_sticker,,test,live-user-full-20260616-201728,514,,2026-06-17T00:15:36.056Z
live-user-full-20260616-201728__frame-516,SWE8,,6,not_sticker,,test,live-user-full-20260616-201728,516,,2026-06-17T00:15:36.314Z
live-user-full-20260616-201728__frame-517,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,517,,2026-06-17T00:15:36.572Z
live-user-full-20260616-201728__frame-518,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,518,,2026-06-17T00:15:36.830Z
live-user-full-20260616-201728__frame-521,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,521,,2026-06-17T00:15:37.093Z
live-user-full-20260616-201728__frame-522,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,522,,2026-06-17T00:15:37.366Z
live-user-full-20260616-201728__frame-525,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,525,,2026-06-17T00:15:37.598Z
live-user-full-20260616-201728__frame-527,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,527,,2026-06-17T00:15:37.860Z
live-user-full-20260616-201728__frame-528,SWE8,,8,not_sticker,,train,live-user-full-20260616-201728,528,,2026-06-17T00:15:38.138Z
live-user-full-20260616-201728__frame-529,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,529,,2026-06-17T00:15:38.412Z
live-user-full-20260616-201728__frame-530,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,530,,2026-06-17T00:15:38.706Z
live-user-full-20260616-201728__frame-531,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,531,,2026-06-17T00:15:39.008Z
live-user-full-20260616-201728__frame-532,SWE8,,4,not_sticker,,train,live-user-full-20260616-201728,532,,2026-06-17T00:15:39.316Z
live-user-full-20260616-201728__frame-534,SWE8,,2,not_sticker,,train,live-user-full-20260616-201728,534,,2026-06-17T00:15:39.664Z
live-user-full-20260616-201728__frame-536,SWE8,,8,not_sticker,,train,live-user-full-20260616-201728,536,,2026-06-17T00:15:40.034Z
live-user-full-20260616-201728__frame-538,SWE8,,6,not_sticker,,train,live-user-full-20260616-201728,538,,2026-06-17T00:15:40.436Z
live-user-20260617-011113__frame-1,,,4,not_sticker,,train,live-user-20260617-011113,1,,2026-06-17T04:17:45.894Z
live-user-20260617-011113__frame-2,,,4,not_sticker,,train,live-user-20260617-011113,2,,2026-06-17T04:16:51.864Z
live-user-20260617-011113__frame-3,,,4,not_sticker,,train,live-user-20260617-011113,3,,2026-06-17T04:16:52.741Z
live-user-20260617-011113__frame-16,,RSA19,8,confirmed,,test,live-user-20260617-011113,16,,2026-06-17T04:16:57.064Z
live-user-20260617-011113__frame-17,,RSA19,8,confirmed,,train,live-user-20260617-011113,17,,2026-06-17T04:16:57.942Z
live-user-20260617-011113__frame-25,,AUT4,8,confirmed,,train,live-user-20260617-011113,25,,2026-06-17T04:16:58.749Z
live-user-20260617-011113__frame-27,,AUT4,8,confirmed,,train,live-user-20260617-011113,27,,2026-06-17T04:16:59.550Z
live-user-20260617-011113__frame-31,,,4,not_sticker,,train,live-user-20260617-011113,31,,2026-06-17T04:17:00.464Z
live-user-20260617-011113__frame-32,,EGY5,8,confirmed,,train,live-user-20260617-011113,32,,2026-06-17T04:17:01.841Z
live-user-20260617-011113__frame-38,,RSA17,8,confirmed,,train,live-user-20260617-011113,38,,2026-06-17T04:17:02.824Z
live-user-20260617-011113__frame-41,,PAN1,8,confirmed,,train,live-user-20260617-011113,41,,2026-06-17T04:17:04.216Z
live-user-20260617-011113__frame-43,,,6,not_sticker,,train,live-user-20260617-011113,43,,2026-06-17T04:17:05.144Z
live-user-20260617-011113__frame-48,,MEX15,6,confirmed,,train,live-user-20260617-011113,48,,2026-06-17T04:17:06.574Z
live-user-20260617-011113__frame-49,,MEX15,8,confirmed,,train,live-user-20260617-011113,49,,2026-06-17T04:17:08.240Z
live-user-20260617-011113__frame-54,,GHA19,8,confirmed,,train,live-user-20260617-011113,54,,2026-06-17T04:17:09.734Z
live-user-20260617-011113__frame-55,,GHA19,8,confirmed,,train,live-user-20260617-011113,55,,2026-06-17T04:17:10.745Z
live-user-20260617-011113__frame-59,,CIV12,8,confirmed,,train,live-user-20260617-011113,59,,2026-06-17T04:17:11.922Z
live-user-20260617-011113__frame-60,,,6,not_sticker,,val,live-user-20260617-011113,60,,2026-06-17T04:17:13.200Z
live-user-20260617-011113__frame-63,,RSA6,8,confirmed,,test,live-user-20260617-011113,63,,2026-06-17T04:17:14.370Z
live-user-20260617-011113__frame-64,,RSA6,8,confirmed,,train,live-user-20260617-011113,64,,2026-06-17T04:17:15.436Z
live-user-20260617-011113__frame-65,,RSA6,8,confirmed,,val,live-user-20260617-011113,65,,2026-06-17T04:17:16.238Z
live-user-20260617-011113__frame-68,,RSA6,8,confirmed,,train,live-user-20260617-011113,68,,2026-06-17T04:17:17.202Z
live-user-20260617-011113__frame-71,,AUT8,8,confirmed,,train,live-user-20260617-011113,71,,2026-06-17T04:17:20.186Z
live-user-20260617-011113__frame-79,,AUS2,8,confirmed,,train,live-user-20260617-011113,79,,2026-06-17T04:17:21.092Z
live-user-20260617-011113__frame-85,,,6,not_sticker,,test,live-user-20260617-011113,85,,2026-06-17T04:17:21.847Z
live-user-20260617-011113__frame-87,,,8,not_sticker,,train,live-user-20260617-011113,87,,2026-06-17T04:17:22.722Z
live-user-20260617-011113__frame-91,,NZL18,8,confirmed,,test,live-user-20260617-011113,91,,2026-06-17T04:17:24.018Z
live-user-20260617-011113__frame-92,,NZL18,8,confirmed,,val,live-user-20260617-011113,92,,2026-06-17T04:17:24.768Z
live-user-20260617-011113__frame-93,,NZL18,8,confirmed,,train,live-user-20260617-011113,93,,2026-06-17T04:17:25.750Z
live-user-20260617-011113__frame-96,,CIV4,8,confirmed,,test,live-user-20260617-011113,96,,2026-06-17T04:17:26.682Z
live-user-20260617-011113__frame-97,,CIV4,6,confirmed,,train,live-user-20260617-011113,97,,2026-06-17T04:17:27.454Z
live-user-20260617-011113__frame-98,,CIV4,6,confirmed,,train,live-user-20260617-011113,98,,2026-06-17T04:17:28.208Z
live-user-20260617-011113__frame-100,,CIV4,8,confirmed,,val,live-user-20260617-011113,100,,2026-06-17T04:17:28.946Z
live-user-20260617-011113__frame-101,,,6,not_sticker,,train,live-user-20260617-011113,101,,2026-06-17T04:17:30.244Z
live-user-20260617-011113__frame-104,,NOR20,8,confirmed,,train,live-user-20260617-011113,104,,2026-06-17T04:17:31.724Z
live-user-20260617-011113__frame-105,,NOR20,8,confirmed,,train,live-user-20260617-011113,105,,2026-06-17T04:17:32.543Z
live-user-20260617-011113__frame-108,,AUS18,8,confirmed,,train,live-user-20260617-011113,108,,2026-06-17T04:17:33.730Z
live-user-20260617-011113__frame-109,,AUS18,8,confirmed,,train,live-user-20260617-011113,109,,2026-06-17T04:17:34.818Z
live-user-20260617-011113__frame-110,,AUS18,8,confirmed,,train,live-user-20260617-011113,110,,2026-06-17T04:17:35.689Z
live-user-20260617-011113__frame-111,,AUS18,8,confirmed,,val,live-user-20260617-011113,111,,2026-06-17T04:17:36.552Z
live-user-20260617-011113__frame-112,,AUS18,8,confirmed,,train,live-user-20260617-011113,112,,2026-06-17T04:17:37.422Z
live-user-20260617-011113__frame-113,,AUS18,8,confirmed,,train,live-user-20260617-011113,113,,2026-06-17T04:17:38.158Z
live-user-20260617-011113__frame-114,,AUS18,8,confirmed,,train,live-user-20260617-011113,114,,2026-06-17T04:17:39.012Z
live-user-20260617-011113__frame-115,,AUS18,8,confirmed,,test,live-user-20260617-011113,115,,2026-06-17T04:17:39.948Z
live-user-20260617-011113__frame-128,,,4,not_sticker,,train,live-user-20260617-011113,128,,2026-06-17T04:17:41.174Z
live-user-20260617-011113__frame-133,,,4,not_sticker,,train,live-user-20260617-011113,133,,2026-06-17T04:17:42.132Z
